mm_feature,gold_horizon,lag_weeks,correlation,rank_correlation,sample_count,interpretation
mm_short_velocity_12w,8W,-2,-0.30777831254939947,-0.3404052079441137,843,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_12w,8W,0,-0.32282017087366965,-0.36924344791978514,843,same_week_negative_historical_alignment
mm_short_velocity_12w,8W,2,-0.2671974212338738,-0.31311638457108953,841,mm_structure_feature_leads_gold_2w_negative_historical_alignment
mm_short_velocity_12w,8W,4,-0.16591931279435818,-0.20696648461823328,839,mm_structure_feature_leads_gold_4w_negative_historical_alignment
mm_short_velocity_12w,8W,8,0.045189512858055614,0.029769849189719276,835,weak_historical_structure_relationship
mm_net_velocity_4w,1W,-8,-0.054879093285045394,-0.06558123013699844,820,weak_historical_structure_relationship
mm_net_velocity_4w,1W,-4,-0.029748548311571386,-0.05640570839162672,820,weak_historical_structure_relationship
mm_net_velocity_4w,1W,-2,0.2604116772849705,0.3060179004135924,820,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_net_velocity_4w,1W,0,0.20723994179057953,0.268373264906359,820,same_week_positive_historical_alignment
mm_net_velocity_4w,1W,2,-0.03772260444902898,-0.01707274426370801,818,weak_historical_structure_relationship
mm_net_velocity_4w,1W,4,0.0119334578695405,0.023075712511886098,816,weak_historical_structure_relationship
mm_net_velocity_4w,1W,8,-0.0562715172088314,-0.05079831401013114,812,weak_historical_structure_relationship
mm_net_velocity_4w,2W,-8,-0.05867794398050746,-0.06806552139410069,820,weak_historical_structure_relationship
mm_net_velocity_4w,2W,-4,-0.10152454973087423,-0.11833077871572296,820,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
mm_net_velocity_4w,2W,-2,0.3567531491042198,0.40631896444070825,820,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_net_velocity_4w,2W,0,0.34015589024334103,0.42399110180916494,820,same_week_positive_historical_alignment
