factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
oi_percentile_156w,all,bull,8W,20-30 percentile,33,0.05007680479884796,0.05385768868508767,0.6666666666666666,-0.29826719035465854
oi_percentile_156w,all,bull,8W,30-40 percentile,37,0.0075083934513542365,0.03663751231392287,0.6486486486486487,-0.29188331959128944
oi_percentile_156w,all,bull,8W,40-50 percentile,32,0.024385742049717767,0.04359820971940653,0.65625,-0.31196189601223423
oi_percentile_156w,all,bull,8W,50-60 percentile,17,0.038660980831742235,0.05101107913140934,0.8235294117647058,-0.13647792390513236
oi_percentile_156w,all,bull,8W,60-70 percentile,47,0.025353273965965456,0.02315952379977726,0.5957446808510638,-0.15878546754349454
oi_percentile_156w,all,bull,8W,70-80 percentile,36,0.04552096078043598,0.04025159526215538,0.7222222222222222,-0.08021903206244474
oi_percentile_156w,all,bull,8W,80-90 percentile,33,0.027222718590698528,0.021651311634714787,0.7272727272727273,-0.08259399147907209
oi_percentile_156w,all,bull,8W,90-100 percentile,90,0.02507629394822296,0.022721413468561602,0.6222222222222222,-0.06545725613777309
mm_net_percentile_156w,all,bear,1W,0-10 percentile,99,0.006038625514858495,0.0011711764977992978,0.5555555555555556,-0.12570918451764834
mm_net_percentile_156w,all,bear,1W,10-20 percentile,14,0.003659902590012682,-0.003753587783306589,0.42857142857142855,-0.040026373845864605
mm_net_percentile_156w,all,bear,1W,20-30 percentile,10,-0.006841538501810895,-0.008112618513685055,0.4,-0.03866481880365924
mm_net_percentile_156w,all,bear,1W,30-40 percentile,28,-0.004246787450534849,-0.0014036354315106192,0.42857142857142855,-0.050276545080313984
mm_net_percentile_156w,all,bear,1W,40-50 percentile,6,0.0005607569752309657,0.0006012664038106963,0.5,-0.021786074380261256
mm_net_percentile_156w,all,bear,1W,50-60 percentile,7,-0.009199154993500356,-0.00933540993660309,0.2857142857142857,-0.055389516334043765
mm_net_percentile_156w,all,bear,1W,60-70 percentile,6,-0.01504097317348461,-0.01836829325013961,0.16666666666666666,-0.030746134244704626
mm_net_percentile_156w,all,bear,1W,70-80 percentile,0,,,,
mm_net_percentile_156w,all,bear,1W,80-90 percentile,1,-0.019080870790712523,-0.019080870790712523,0.0,-0.019080870790712523
mm_net_percentile_156w,all,bear,1W,90-100 percentile,0,,,,
mm_net_percentile_156w,all,bear,2W,0-10 percentile,98,0.011734666161522155,0.002951920236458405,0.5306122448979592,-0.12570918451764834
mm_net_percentile_156w,all,bear,2W,10-20 percentile,14,-0.0016060149154881029,-0.009854454049755934,0.35714285714285715,-0.05366403411319076
mm_net_percentile_156w,all,bear,2W,20-30 percentile,10,-0.004972160267187342,0.00118945455399172,0.5,-0.07259206798866857
mm_net_percentile_156w,all,bear,2W,30-40 percentile,28,-0.006355048709330965,-0.004190495331652611,0.35714285714285715,-0.05508472961315902
mm_net_percentile_156w,all,bear,2W,40-50 percentile,6,-0.016006014479823322,-0.011980968450679641,0.3333333333333333,-0.059046946260703614
mm_net_percentile_156w,all,bear,2W,50-60 percentile,7,-0.005912939213210027,-0.0005046394247617547,0.42857142857142855,-0.06802212339558023
