feature_group,window,feature_name,horizon,correlation,rank_correlation,absolute_rank_correlation,high_low_spread,sample_count,weekly_change_avg,weekly_change_median,weekly_change_std,extreme_jump_count,stability_score,train_rank_corr,test_rank_corr,train_high_low_spread,test_high_low_spread,direction_consistency,information_score,train_test_score,interpretability_score,total_score,recommended,reason
short,26W,mm_short_velocity_26w,1W,-0.13106134406209655,-0.13183088235745957,0.13183088235745957,-0.007536269101724551,829,0.1181598321130085,0.0769230769230769,0.12138676878993623,72,66.5,-0.13263506509484416,-0.11509420807658226,-0.0063951094713338,-0.006864236062096699,True,99.41666666666666,100.0,65.0,87.89166666666667,False,medium-term window; slower response; train/test direction is consistent; historical structure research only
short,2W,mm_short_velocity_2w,1W,-0.22727352025804567,-0.27525552746539006,0.27525552746539006,-0.016140858415206398,853,0.1179010210588431,0.07692307692307676,0.1335521279548559,78,78.83333333333334,-0.3366630626942471,-0.19355317952084644,-0.017962818457663503,-0.00814319346952185,True,67.58333333333333,100.0,55.0,77.24166666666667,True,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
short,8W,mm_short_velocity_8w,2W,-0.18190653851553942,-0.21563596587130276,0.21563596587130276,-0.01996638584158785,847,0.12558446145756907,0.08333333333333323,0.13194126244669607,82,87.83333333333334,-0.25062349385881605,-0.16035050026483672,-0.021194406808695297,-0.01570754506119375,True,77.08333333333333,100.0,95.0,87.29166666666667,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
short,12W,mm_short_velocity_12w,2W,-0.17698409482629573,-0.2221774564661674,0.2221774564661674,-0.0184834616678992,843,0.12437495456900685,0.08333333333333337,0.13313087751191796,78,84.16666666666667,-0.2657314805682724,-0.15786303518715955,-0.01942802275916255,-0.0118550000220197,True,72.83333333333334,100.0,90.0,84.17500000000001,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
short,26W,mm_short_velocity_26w,2W,-0.20060468645920373,-0.20272662013038897,0.20272662013038897,-0.01709872194664355,829,0.1181598321130085,0.0769230769230769,0.12138676878993623,72,66.5,-0.23433910637267139,-0.1504518620087746,-0.0212859169452621,-0.012043702652410651,True,82.16666666666667,100.0,65.0,80.99166666666667,False,medium-term window; slower response; train/test direction is consistent; historical structure research only
short,4W,mm_short_velocity_4w,2W,-0.27966053687998266,-0.3133639916098767,0.3133639916098767,-0.0285844854244062,851,0.12627960152607626,0.08333333333333329,0.1441980011502158,78,95.5,-0.41741104197068407,-0.1704902898702162,-0.03385710807811525,-0.016817030329465348,True,52.41666666666667,100.0,85.0,78.34166666666667,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
short,2W,mm_short_velocity_2w,2W,-0.35679335596130046,-0.42855390832148527,0.42855390832148527,-0.0367984077353505,853,0.1179010210588431,0.07692307692307676,0.1335521279548559,78,78.83333333333334,-0.5436463565311693,-0.2726389384627687,-0.04002010918711225,-0.02034043608519975,True,28.833333333333336,100.0,55.0,61.741666666666674,True,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
short,8W,mm_short_velocity_8w,4W,-0.27765817732236137,-0.3005187197061085,0.3005187197061085,-0.04078876745853875,847,0.12558446145756907,0.08333333333333323,0.13194126244669607,82,87.83333333333334,-0.3795573719976488,-0.1770174300479889,-0.048856786283939996,-0.02500522307501035,True,50.41666666666667,100.0,95.0,76.625,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
short,12W,mm_short_velocity_12w,4W,-0.2895662066129042,-0.326514188736152,0.326514188736152,-0.0409515284670775,843,0.12437495456900685,0.08333333333333337,0.13313087751191796,78,84.16666666666667,-0.3860660768182007,-0.23376260519286332,-0.04474505822782445,-0.027070305732018504,True,43.333333333333336,100.0,90.0,72.375,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
short,26W,mm_short_velocity_26w,4W,-0.3079015128662692,-0.30151808917813666,0.30151808917813666,-0.037785807309782656,829,0.1181598321130085,0.0769230769230769,0.12138676878993623,72,66.5,-0.38008603501085764,-0.18644036653285806,-0.0438680171777692,-0.027499898874836153,True,49.91666666666667,100.0,65.0,68.09166666666667,False,medium-term window; slower response; train/test direction is consistent; historical structure research only
short,2W,mm_short_velocity_2w,4W,-0.30145477505086227,-0.33184977295743767,0.33184977295743767,-0.0469517161134176,853,0.1179010210588431,0.07692307692307676,0.1335521279548559,78,78.83333333333334,-0.45500297231944625,-0.1686400158149015,-0.0528655381277063,-0.0221622769493841,True,37.583333333333336,100.0,55.0,65.24166666666667,True,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
short,4W,mm_short_velocity_4w,4W,-0.4172708892335067,-0.4339104739311361,0.4339104739311361,-0.0584683979496675,851,0.12627960152607626,0.08333333333333329,0.1441980011502158,78,95.5,-0.5857250644002971,-0.2249137846564121,-0.0753596314228685,-0.0369395202647905,True,14.0,100.0,85.0,62.975,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
short,2W,mm_short_velocity_2w,8W,-0.12306847941480858,-0.1397663904306951,0.1397663904306951,-0.0286950231139412,853,0.1179010210588431,0.07692307692307676,0.1335521279548559,78,78.83333333333334,-0.21058757671491177,-0.057224496611631905,-0.02972355382449045,-0.019579132245517203,True,83.25,100.0,55.0,83.50833333333334,True,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
short,4W,mm_short_velocity_4w,8W,-0.2095495778329717,-0.2212130990010334,0.2212130990010334,-0.045335387812798195,851,0.12627960152607626,0.08333333333333329,0.1441980011502158,78,95.5,-0.3411368809023823,-0.06807302873014999,-0.0561074828110914,-0.01983566602916555,True,58.75,100.0,85.0,80.875,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
short,12W,mm_short_velocity_12w,8W,-0.32294692361264193,-0.3694884748198664,0.3694884748198664,-0.0666735365290942,843,0.12437495456900685,0.08333333333333337,0.13313087751191796,78,84.16666666666667,-0.45428508086605335,-0.23231922484843615,-0.06354735385678255,-0.04788818510897409,True,27.333333333333332,100.0,90.0,65.975,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
short,8W,mm_short_velocity_8w,8W,-0.3749485785182559,-0.41227209119663377,0.41227209119663377,-0.0785546410666023,847,0.12558446145756907,0.08333333333333323,0.13194126244669607,82,87.83333333333334,-0.5672399252410123,-0.19429430355995225,-0.09032023411906734,-0.040815635315905846,True,18.500000000000004,100.0,95.0,63.858333333333334,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
short,26W,mm_short_velocity_26w,8W,-0.33968869841361743,-0.347831721759782,0.347831721759782,-0.0642400577737974,829,0.1181598321130085,0.0769230769230769,0.12138676878993623,72,66.5,-0.43061821851031323,-0.22941615730585438,-0.0635657623143587,-0.06330055893467129,True,29.0,100.0,65.0,59.725,False,medium-term window; slower response; train/test direction is consistent; historical structure research only
