feature_group,window,feature_name,bucket,count,avg_forward_return_1w,median_forward_return_1w,win_rate_1w,avg_forward_return_2w,median_forward_return_2w,win_rate_2w,avg_forward_return_4w,median_forward_return_4w,win_rate_4w,avg_forward_return_8w,median_forward_return_8w,win_rate_8w,best_return_8w,worst_return_8w
long,26W,mm_long_velocity_26w,>= 40,124,0.007933445943494127,0.008838320475320051,0.6693548387096774,0.017751107942842174,0.017499816011226348,0.7338709677419355,0.034499889519955855,0.0352611934336616,0.8145161290322581,0.05817710197190422,0.05801914557194205,0.8629032258064516,0.1791862139719482,-0.0474866814603835
short,2W,mm_short_velocity_2w,<= -40,21,0.008729443482364029,0.0110259984554195,0.6666666666666666,0.0267165086876143,0.0286361355559017,0.9523809523809523,0.03868317900152657,0.0294586450574381,0.9047619047619048,0.036360853261300244,0.0222337519637536,0.7142857142857143,0.2078951875901724,-0.0172053933773944
short,2W,mm_short_velocity_2w,-40 to -20,60,0.009529971953299155,0.008107916855809,0.75,0.022454998616144323,0.0209460560106209,0.9,0.03500684851950234,0.040340702424576505,0.85,0.0355349559112829,0.026183608500118,0.7333333333333333,0.1971957200753258,-0.0607819294529317
short,2W,mm_short_velocity_2w,-20 to 0,316,0.007499177249760814,0.00670942325788685,0.6867088607594937,0.011727047569344723,0.0115295635956591,0.7341772151898734,0.014184643226171452,0.012466589082319849,0.6645569620253164,0.018581225495861296,0.01612195407313495,0.5949367088607594,0.1797898651000311,-0.1351957658134761
short,2W,mm_short_velocity_2w,0 to 20,379,-0.002477167669122573,-0.0035661944378471,0.45646437994722955,-0.0035193265194036405,-0.0060460840559745,0.36675461741424803,-0.000187940486207999,-0.0051318968162301,0.46437994722955145,0.010172544541519501,-0.0009351240785032,0.48812664907651715,0.2490795911429133,-0.1417529499061852
short,2W,mm_short_velocity_2w,20 to 40,58,-0.006496942649070616,-0.009814045934086149,0.3103448275862069,-0.010715912103788238,-0.01679233793786155,0.27586206896551724,-0.009761838588077979,-0.01433767627125675,0.27586206896551724,0.006238900776297672,-0.00681676648309965,0.46551724137931033,0.1529107531785656,-0.1127336639223639
short,2W,mm_short_velocity_2w,>= 40,18,-0.010265941255938906,-0.0132423824404278,0.3333333333333333,-0.026062469780255185,-0.027661372117461648,0.2222222222222222,-0.01911461823310853,-0.0189477518982695,0.2777777777777778,0.000756343107741361,-0.011890564904917699,0.3888888888888889,0.0890420811244283,-0.0721954831543872
short,4W,mm_short_velocity_4w,<= -40,43,0.009372421880327428,0.0119215366528764,0.7906976744186046,0.022903930471987913,0.0196880775987169,0.9069767441860465,0.048871203854664605,0.0510784987044954,0.9302325581395349,0.04654650091752334,0.0362647310881572,0.813953488372093,0.141108139777025,-0.0202390127896964
short,4W,mm_short_velocity_4w,-40 to -20,91,0.005447112380364688,0.0049925094945393,0.6043956043956044,0.014355184013232955,0.0158468757647642,0.7912087912087912,0.03435364639960233,0.0338513912926092,0.8681318681318682,0.043565678938052924,0.0351147660648287,0.7692307692307693,0.2078951875901724,-0.0607819294529317
short,4W,mm_short_velocity_4w,-20 to 0,287,0.004917530315321929,0.0058102601980287,0.6411149825783972,0.007112639288628877,0.0066078033530982,0.6341463414634146,0.012260197208696621,0.0115565629381253,0.662020905923345,0.012414962506478687,0.0103784131034481,0.5470383275261324,0.1711353004608575,-0.1351957658134761
short,4W,mm_short_velocity_4w,0 to 20,302,-0.000534023825701134,-0.0001172087311543628,0.49337748344370863,0.0005427114355501953,-0.00155114477133835,0.4503311258278146,0.00025033135842844536,-0.0068520584235876,0.44039735099337746,0.012114185579634732,0.00310804425433195,0.5165562913907285,0.2391145624670039,-0.1417529499061852
short,4W,mm_short_velocity_4w,20 to 40,84,-0.0018236755195899903,-0.00570257525701545,0.40476190476190477,-0.0064415096380020425,-0.0137024531552589,0.30952380952380953,-0.01269312286903608,-0.017659898669697152,0.32142857142857145,0.004857849888969393,-0.01073007322621035,0.4166666666666667,0.2490795911429133,-0.1159048295679646
short,4W,mm_short_velocity_4w,>= 40,43,-0.00819780057640625,-0.0093038957346472,0.37209302325581395,-0.01690308386935676,-0.0145711462057395,0.23255813953488372,-0.030121079825688304,-0.0353757413595857,0.18604651162790697,-0.012429398781080656,-0.0186216842293054,0.3023255813953488,0.0870611989780989,-0.1127336639223639
short,8W,mm_short_velocity_8w,<= -40,79,0.007924728371527879,0.0083720580836315,0.6835443037974683,0.019763736311163224,0.0175305657729203,0.8607594936708861,0.03913725301424177,0.0338386997134787,0.9113924050632911,0.07269755487637983,0.070932856340758,0.9746835443037974,0.175924517683228,-0.0074261526713994
short,8W,mm_short_velocity_8w,-40 to -20,97,0.004094606727258678,0.0067600702422212,0.6288659793814433,0.008205527897971339,0.0086469567469202,0.6494845360824743,0.025828498314425137,0.0272399572492501,0.6804123711340206,0.0489487327882061,0.0416539951470713,0.865979381443299,0.2078951875901724,-0.0536049369955956
short,8W,mm_short_velocity_8w,-20 to 0,236,0.004168978325936525,0.0038970638862164,0.597457627118644,0.005613695393434629,0.0055392332000908,0.5932203389830508,0.005917405861184614,0.00636096835995075,0.6016949152542372,0.012971523769758022,0.010891647834555498,0.5847457627118644,0.1423287258562418,-0.1351957658134761
short,8W,mm_short_velocity_8w,0 to 20,259,-0.0005112983317668331,0.0003938283647357,0.5135135135135135,-0.001204880006899359,-0.0022281766769149,0.46332046332046334,8.149923861406748e-05,-0.0041538649338942,0.47104247104247104,0.0011193233083755631,-0.0119104333088915,0.40540540540540543,0.2391145624670039,-0.1417529499061852
short,8W,mm_short_velocity_8w,20 to 40,114,-0.0025523081389428816,-0.0036993340125851997,0.43859649122807015,-5.6911518789378946e-05,-0.0059484925116023,0.39473684210526316,-0.0009098250999756866,-0.010879290612492449,0.4298245614035088,0.0031873352593293305,-0.0130269085239907,0.38596491228070173,0.2490795911429133,-0.1111769317266797
short,8W,mm_short_velocity_8w,>= 40,61,0.00027376491817234904,0.0007809999956569,0.5081967213114754,-0.0031824405149065036,-0.0052874937709819,0.4098360655737705,-0.008141125787748553,-0.0055439202855321,0.3770491803278688,-0.019525995423425025,-0.0300032447818701,0.2459016393442623,0.0970976503803078,-0.1159048295679646
short,12W,mm_short_velocity_12w,<= -40,95,0.006009919970792107,0.0067600702422212,0.631578947368421,0.013415516564173353,0.0145472613612798,0.7263157894736842,0.03310971192723227,0.0318246116430678,0.8105263157894737,0.06235367639638786,0.0671188861121028,0.9052631578947369,0.1625829071198501,-0.045643465696193
short,12W,mm_short_velocity_12w,-40 to -20,113,0.005403766710998115,0.0050744249683623,0.6371681415929203,0.012690989956894856,0.0131064080829517,0.6902654867256637,0.0246297707832321,0.0234780693549829,0.7433628318584071,0.037676220500739745,0.029173625132298,0.7610619469026548,0.1971957200753258,-0.054338127640679
short,12W,mm_short_velocity_12w,-20 to 0,212,0.004869447280569196,0.00371140860454715,0.5754716981132075,0.007711130043068278,0.00740440591263375,0.5943396226415094,0.012967548261113085,0.0100549690490091,0.5990566037735849,0.018550678662905936,0.013205998151534299,0.5801886792452831,0.2133711803970932,-0.1244365456402778
short,12W,mm_short_velocity_12w,0 to 20,227,-0.0014836888908771537,0.0018094948251925,0.5374449339207048,-0.004352058315564295,-0.0024257125530624,0.44933920704845814,-0.007072439357827525,-0.0055813574975774,0.45374449339207046,-0.004543343198245973,-0.0122590781912587,0.3964757709251101,0.2391145624670039,-0.1417529499061852
short,12W,mm_short_velocity_12w,20 to 40,98,-0.002369633364603108,-0.0008313630103276,0.47959183673469385,3.9794804685499066e-05,-0.00186064245247605,0.45918367346938777,0.0006350869485368309,-0.00822693635194345,0.4387755102040816,0.005970952476261963,-0.0078367788897368,0.41836734693877553,0.2490795911429133,-0.1127336639223639
short,12W,mm_short_velocity_12w,>= 40,97,-0.0005832520963416589,-0.0035307075637787,0.4536082474226804,-0.001786810246683266,-0.007878101044079,0.41237113402061853,-0.007283509437475295,-0.0136755586040195,0.38144329896907214,-0.007066212219860917,-0.0205754365797258,0.36082474226804123,0.1708728004228352,-0.1159048295679646
short,26W,mm_short_velocity_26w,<= -40,129,0.005110675566628864,0.0052880435452842,0.6124031007751938,0.011304101601633552,0.0106866879906843,0.6511627906976745,0.02619151056699638,0.0218626291806431,0.7209302325581395,0.04721630147569716,0.0505347391456221,0.7674418604651163,0.1791862139719482,-0.056232198578584
short,26W,mm_short_velocity_26w,-40 to -20,129,0.004911115652713799,0.0049925094945393,0.6046511627906976,0.009938701904790702,0.0090386879979753,0.6744186046511628,0.02091961809217609,0.0180159084722209,0.6666666666666666,0.034065386680567196,0.0286681918151789,0.6744186046511628,0.2391145624670039,-0.1339790371346169
short,26W,mm_short_velocity_26w,-20 to 0,171,0.0027571636256530493,0.0039609883242712,0.6023391812865497,0.005133196098689928,0.0061268615565124,0.5789473684210527,0.007949019821165661,0.0082051512444598,0.5847953216374269,0.014474532044198251,0.0056573510644919,0.5263157894736842,0.1797898651000311,-0.1041480677009309
short,26W,mm_short_velocity_26w,0 to 20,171,1.9179634138797937e-05,0.0003938283647357,0.5087719298245614,0.00021132169931327284,-0.0005046394247617,0.49122807017543857,0.0017390389943512522,-0.0005998251143196,0.49122807017543857,0.005710957172974622,0.0013702130585597,0.5087719298245614,0.2490795911429133,-0.1417529499061852
short,26W,mm_short_velocity_26w,20 to 40,111,-0.00022861051505423453,0.000991285561235,0.5225225225225225,0.0006747575241332564,-0.0020895641905246,0.45045045045045046,0.0002562801810765533,-0.0033323304132563,0.4864864864864865,0.0076996578583328045,0.00731863487952,0.5135135135135135,0.1711353004608575,-0.1351957658134761
short,26W,mm_short_velocity_26w,>= 40,117,-0.001908224347473609,-0.0014025999767945,0.452991452991453,-0.005927867755094258,-0.0060460840559745,0.39316239316239315,-0.014594007216386026,-0.015475592563265,0.358974358974359,-0.021857190572312966,-0.0255853064277966,0.24786324786324787,0.1103411065952582,-0.1366085933886819
net,2W,mm_net_velocity_2w,<= -40,7,-0.0100098537027853,-0.0109066941951678,0.2857142857142857,-0.03483584401550323,-0.0408364763902069,0.0,-0.032652815373503716,-0.0335544284042138,0.2857142857142857,-0.022042405325075853,-0.013239115895728,0.14285714285714285,0.0718576845815901,-0.1127336639223639
