window,historical_start_date,historical_end_date,similarity_score,current_path,historical_path,historical_gold_return_1w,historical_gold_return_2w,historical_gold_return_4w,historical_gold_return_8w
26W,2022-02-22,2022-08-23,88.05738141846486,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[68.5897, 71.7949, 69.8718, 62.8205, 59.6154, 55.7692, 49.359, 60.2564, 47.4359, 26.2821, 16.6667, 13.4615, 4.4872, 12.1795, 7.6923, 10.8974, 2.5641, 7.0513, 2.5641, 0.641, 0.641, 0.641, 0.641, 2.5641, 7.0513, 6.4103, 3.8462]",-0.0148882828055024,-0.0263098947446348,0.0169413159943312,-0.0388995604797111
26W,2018-02-27,2018-08-28,87.52937090791006,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[64.7436, 64.7436, 58.3333, 50.0, 67.9487, 53.2051, 52.5641, 55.1282, 42.9487, 20.5128, 23.0769, 14.1026, 12.8205, 27.5641, 26.2821, 27.5641, 12.1795, 8.9744, 8.3333, 8.3333, 1.9231, 0.641, 0.641, 0.641, 0.641, 0.641, 1.9231]",0.0124099020049481,0.0120704311936818,-0.0133201989116717,-0.0353147587360592
26W,2022-03-01,2022-08-30,87.50554440185533,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[71.7949, 69.8718, 62.8205, 59.6154, 55.7692, 49.359, 60.2564, 47.4359, 26.2821, 16.6667, 13.4615, 4.4872, 12.1795, 7.6923, 10.8974, 2.5641, 7.0513, 2.5641, 0.641, 0.641, 0.641, 0.641, 2.5641, 7.0513, 6.4103, 3.8462, 2.5641]",-0.013510474580123,-0.02819760961924,-0.0270453532123253,-0.0219094656524303
26W,2010-08-31,2011-03-01,87.12473233382798,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[71.6981, 77.7778, 90.9091, 78.5714, 96.4912, 89.6552, 94.9153, 63.3333, 47.541, 41.9355, 33.3333, 17.1875, 18.4615, 25.7576, 31.3433, 17.6471, 13.0435, 18.5714, 9.8592, 1.3889, 1.3699, 2.7027, 1.3333, 6.5789, 15.5844, 26.9231, 46.8354]",0.0215636923754909,0.0415695811013538,0.0680053577532282,0.0378672115864164
26W,2020-06-09,2020-12-08,86.96927067356538,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[41.6667, 44.2308, 50.0, 53.2051, 53.2051, 50.641, 53.2051, 43.5897, 43.5897, 39.7436, 39.1026, 38.4615, 41.6667, 43.5897, 45.5128, 37.8205, 40.3846, 41.0256, 38.4615, 40.3846, 46.7949, 41.0256, 37.1795, 41.0256, 40.3846, 41.0256, 48.0769]",0.0312552086463009,0.0365691479468068,-0.0024527970171989,-0.0093724920158194
26W,2020-11-17,2021-05-18,86.7119139316662,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[41.0256, 40.3846, 41.0256, 48.0769, 50.0, 51.9231, 52.5641, 55.7692, 35.8974, 35.8974, 47.4359, 42.3077, 42.3077, 35.8974, 36.5385, 32.0513, 25.641, 30.1282, 32.6923, 32.6923, 39.1026, 37.1795, 39.1026, 35.2564, 36.5385, 44.8718, 51.9231]",0.0173756871234007,0.0518076345705205,0.0509199333335257,0.0829710104409862
26W,2018-03-06,2018-09-04,86.6926065540604,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[64.7436, 58.3333, 50.0, 67.9487, 53.2051, 52.5641, 55.1282, 42.9487, 20.5128, 23.0769, 14.1026, 12.8205, 27.5641, 26.2821, 27.5641, 12.1795, 8.9744, 8.3333, 8.3333, 1.9231, 0.641, 0.641, 0.641, 0.641, 0.641, 1.9231, 1.9231]",-0.0121749817334327,8.382994129130239e-05,-0.0139715813121408,-0.0487319311507107
26W,2022-02-15,2022-08-16,86.57114856489609,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[58.3333, 68.5897, 71.7949, 69.8718, 62.8205, 59.6154, 55.7692, 49.359, 60.2564, 47.4359, 26.2821, 16.6667, 13.4615, 4.4872, 12.1795, 7.6923, 10.8974, 2.5641, 7.0513, 2.5641, 0.641, 0.641, 0.641, 0.641, 2.5641, 7.0513, 6.4103]",-0.0115942301160116,0.0011856900315538,0.0369590357730262,-0.0334677996463246
26W,2010-08-24,2011-02-22,86.5087030161354,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[51.9231, 71.6981, 77.7778, 90.9091, 78.5714, 96.4912, 89.6552, 94.9153, 63.3333, 47.541, 41.9355, 33.3333, 17.1875, 18.4615, 25.7576, 31.3433, 17.6471, 13.0435, 18.5714, 9.8592, 1.3889, 1.3699, 2.7027, 1.3333, 6.5789, 15.5844, 26.9231]",0.0195835941265125,0.027211364912423,0.0511896334702253,-0.0033446849809206
26W,2020-11-10,2021-05-11,86.27838165265715,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[37.1795, 41.0256, 40.3846, 41.0256, 48.0769, 50.0, 51.9231, 52.5641, 55.7692, 35.8974, 35.8974, 47.4359, 42.3077, 42.3077, 35.8974, 36.5385, 32.0513, 25.641, 30.1282, 32.6923, 32.6923, 39.1026, 37.1795, 39.1026, 35.2564, 36.5385, 44.8718]",0.0338438866614505,0.0325646931462668,0.051368729670385,0.0608459784546531
