mm_feature,gold_horizon,lag_weeks,correlation,rank_correlation,sample_count,interpretation
mm_acceleration_4w,1W,-8,-0.016756777128840532,-0.002951245006053557,817,weak_or_no_clear_historical_relationship
mm_acceleration_4w,1W,-4,-0.1557377016971161,-0.20398926880850066,817,gold_or_later_mm_alignment_4w_negative_historical_alignment
mm_acceleration_4w,1W,-2,0.19391581745945605,0.20470225594348687,817,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_acceleration_4w,1W,0,0.12614852295668552,0.16886026955111585,817,same_week_positive_historical_alignment
mm_acceleration_4w,1W,2,-0.05298486291831859,-0.044769082655218236,815,weak_or_no_clear_historical_relationship
mm_acceleration_4w,1W,4,0.04429602007427649,0.023330348198030443,813,weak_or_no_clear_historical_relationship
mm_acceleration_4w,1W,8,-0.023584434346618725,-0.0025616591197184283,809,weak_or_no_clear_historical_relationship
mm_acceleration_4w,2W,-8,0.028257370131230756,0.03546261337875344,817,weak_or_no_clear_historical_relationship
mm_acceleration_4w,2W,-4,-0.2906885994665838,-0.3519054106161525,817,gold_or_later_mm_alignment_4w_negative_historical_alignment
mm_acceleration_4w,2W,-2,0.2627360976300271,0.29472124142797945,817,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_acceleration_4w,2W,0,0.21884282894041976,0.284915943699087,817,same_week_positive_historical_alignment
mm_acceleration_4w,2W,2,-0.07786513717109962,-0.09702125326854165,815,weak_or_no_clear_historical_relationship
mm_acceleration_4w,2W,4,0.03269565058483966,-0.011651635838134158,813,weak_or_no_clear_historical_relationship
mm_acceleration_4w,2W,8,0.005116738162279593,0.035873347167305294,809,weak_or_no_clear_historical_relationship
mm_acceleration_4w,4W,-8,0.05778188286638526,0.054548934497862196,817,weak_or_no_clear_historical_relationship
mm_acceleration_4w,4W,-4,-0.44420046958564796,-0.5141005712906884,817,gold_or_later_mm_alignment_4w_negative_historical_alignment
mm_acceleration_4w,4W,-2,-0.021008285329509067,-0.03485550213222878,817,weak_or_no_clear_historical_relationship
mm_acceleration_4w,4W,0,0.3432862623188464,0.39655909193837374,817,same_week_positive_historical_alignment
mm_acceleration_4w,4W,2,0.10091399755174381,0.11584143267577583,815,mm_feature_leads_gold_2w_positive_historical_alignment
mm_acceleration_4w,4W,4,-0.031479023232568196,-0.083604047840794,813,weak_or_no_clear_historical_relationship
mm_acceleration_4w,4W,8,0.08874254197352784,0.11916105496706109,809,mm_feature_leads_gold_8w_positive_historical_alignment
mm_acceleration_4w,8W,-8,0.01994361218263133,-0.00026510231034816397,817,weak_or_no_clear_historical_relationship
mm_acceleration_4w,8W,-4,-0.2724113025841612,-0.331620864462357,817,gold_or_later_mm_alignment_4w_negative_historical_alignment
mm_acceleration_4w,8W,-2,-0.1683299321123457,-0.18488801746174544,817,gold_or_later_mm_alignment_2w_negative_historical_alignment
mm_acceleration_4w,8W,0,-0.07499297637108183,-0.062104938970035495,817,weak_or_no_clear_historical_relationship
mm_acceleration_4w,8W,2,0.0551618579201328,0.05355075572159619,815,weak_or_no_clear_historical_relationship
mm_acceleration_4w,8W,4,0.2242023745969514,0.2002156150885544,813,mm_feature_leads_gold_4w_positive_historical_alignment
mm_acceleration_4w,8W,8,0.04085198177414491,0.038317821898458955,809,weak_or_no_clear_historical_relationship
mm_acceleration_8w,1W,-8,-0.14169618461314187,-0.17909873075992416,809,gold_or_later_mm_alignment_8w_negative_historical_alignment
mm_acceleration_8w,1W,-4,0.11396423618545247,0.12615852894228208,809,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_acceleration_8w,1W,-2,0.12671243208401628,0.14710272724317736,809,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_acceleration_8w,1W,0,0.1461186971221882,0.1661326087782913,809,same_week_positive_historical_alignment
mm_acceleration_8w,1W,2,0.03834332558843608,0.037856902022593626,807,weak_or_no_clear_historical_relationship
mm_acceleration_8w,1W,4,-0.02672571346343686,-0.03343107735369068,805,weak_or_no_clear_historical_relationship
mm_acceleration_8w,1W,8,-0.07760635855013388,-0.08990284228499189,801,weak_or_no_clear_historical_relationship
mm_acceleration_8w,2W,-8,-0.23633856710983997,-0.27333325978890327,809,gold_or_later_mm_alignment_8w_negative_historical_alignment
mm_acceleration_8w,2W,-4,0.1444909568644006,0.15989576407545522,809,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_acceleration_8w,2W,-2,0.17636005818441428,0.18343106088724956,809,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_acceleration_8w,2W,0,0.21886285615420012,0.23054386625506693,809,same_week_positive_historical_alignment
mm_acceleration_8w,2W,2,0.06322668129374019,0.05390900096446639,807,weak_or_no_clear_historical_relationship
mm_acceleration_8w,2W,4,-0.014832852375472827,-0.024371748483534423,805,weak_or_no_clear_historical_relationship
mm_acceleration_8w,2W,8,-0.10778284009522923,-0.10323836809627862,801,mm_feature_leads_gold_8w_negative_historical_alignment
mm_acceleration_8w,4W,-8,-0.34848596321090614,-0.38574797343870165,809,gold_or_later_mm_alignment_8w_negative_historical_alignment
mm_acceleration_8w,4W,-4,0.1729126672277221,0.16302259477968334,809,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_acceleration_8w,4W,-2,0.22769957418695796,0.23509091534337034,809,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_acceleration_8w,4W,0,0.28227007069138843,0.27908564965213767,809,same_week_positive_historical_alignment
mm_acceleration_8w,4W,2,0.20134044046890934,0.19201168882558126,807,mm_feature_leads_gold_2w_positive_historical_alignment
mm_acceleration_8w,4W,4,0.035749637410542615,0.023363387669099258,805,weak_or_no_clear_historical_relationship
mm_acceleration_8w,4W,8,-0.12566817644356296,-0.10156263905061405,801,mm_feature_leads_gold_8w_negative_historical_alignment
mm_acceleration_8w,8W,-8,-0.4319065360832166,-0.4863140941217907,809,gold_or_later_mm_alignment_8w_negative_historical_alignment
mm_acceleration_8w,8W,-4,-0.12686489519279381,-0.14337442734474226,809,gold_or_later_mm_alignment_4w_negative_historical_alignment
mm_acceleration_8w,8W,-2,0.08995733372240605,0.08595082834948986,809,weak_or_no_clear_historical_relationship
mm_acceleration_8w,8W,0,0.32366417639820144,0.3220280593423013,809,same_week_positive_historical_alignment
mm_acceleration_8w,8W,2,0.3084687162873868,0.30677862444986226,807,mm_feature_leads_gold_2w_positive_historical_alignment
mm_acceleration_8w,8W,4,0.229835501673874,0.21451479436257043,805,mm_feature_leads_gold_4w_positive_historical_alignment
mm_acceleration_8w,8W,8,-0.061419200542007925,-0.050075265197591895,801,weak_or_no_clear_historical_relationship
