factor,display_name,definition,definition_type,window_weeks,signal_column,forward_horizon,return_column,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,best_return,worst_return,max_drawdown_after_signal
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,50-60,59,0.02311256998568004,0.019173365458244662,0.6101694915254238,0.18743474383130998,-0.11117693172667975,-0.13647792390513236
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,60-70,59,0.017004892938687576,0.012018445791561971,0.6271186440677966,0.19719572007532582,-0.11038605371419963,-0.13647792390513236
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,70-80,55,0.019079362437361136,0.005012950018893347,0.5636363636363636,0.17113530046085756,-0.11590482956796466,-0.1204135739072435
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,80-90,60,0.01402591485771938,0.014428486124695827,0.55,0.11893133498330144,-0.07884812834246979,-0.08904698325854066
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,90-100,107,0.016913023824880944,0.013921908704946473,0.5887850467289719,0.11644549822118977,-0.11273366392236395,-0.11727902345840291
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,0-10,166,0.0012590751373795566,0.00192476446380907,0.5542168674698795,0.058031614463415204,-0.12570918451764834,-0.12570918451764834
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,10-20,70,0.0013197526479033226,0.0024451901813128396,0.5857142857142857,0.05459544383346415,-0.04462030767173264,-0.04462030767173264
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,20-30,83,0.004542971816011791,0.00383313944816166,0.5903614457831325,0.06333708795450965,-0.043731033667568364,-0.043731033667568364
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,30-40,76,-0.0007783500835874199,0.0019267308200754396,0.5526315789473685,0.041568471653199435,-0.12031597586732656,-0.12031597586732656
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,40-50,88,-0.0020092895211596394,-0.0015343897376715043,0.45454545454545453,0.048918387413962705,-0.06468940995295891,-0.06468940995295891
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,50-60,62,0.005316852863781397,0.005716023756195621,0.6290322580645161,0.08872708019648767,-0.05622979951011842,-0.05622979951011842
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,60-70,62,0.00390072377421468,0.001464901771903504,0.5161290322580645,0.08432153923414987,-0.05470318951103592,-0.05470318951103592
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,70-80,46,0.004238995389831608,0.006608865484028059,0.5869565217391305,0.05072036986960882,-0.03781828685219857,-0.03781828685219857
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,80-90,59,-0.000986376283599271,0.0015081819145017494,0.5423728813559322,0.04195138844770341,-0.0808871997749745,-0.0808871997749745
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,90-100,110,0.003198335850311862,0.0029711982038829188,0.5454545454545454,0.05974783733921063,-0.05119879076312228,-0.05119879076312228
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,0-10,166,0.0015315354379818417,0.0033583429000330067,0.5301204819277109,0.07829790202317621,-0.11954792056152808,-0.12570918451764834
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,10-20,70,0.007501062535471249,0.005769930116847233,0.6142857142857143,0.06864580846201851,-0.05349203288269,-0.05349203288269
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,20-30,82,0.004574009019542205,0.008320890543865311,0.5975609756097561,0.07149824544913708,-0.15878546754349454,-0.15878546754349454
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,30-40,76,-0.001500350193333894,0.0006857783615683566,0.5131578947368421,0.052281134401972906,-0.09645285117833136,-0.12031597586732656
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,40-50,88,-0.0011543630594861285,-0.0037406974534593407,0.4318181818181818,0.06798853380926717,-0.05221043582995244,-0.06468940995295891
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,50-60,62,0.009274179274932263,0.009230389051470778,0.6129032258064516,0.10944797529729877,-0.06125140330543344,-0.06125140330543344
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,60-70,62,0.009530252138614059,0.004196816474401066,0.5967741935483871,0.14566775391111086,-0.0585265554840122,-0.0585265554840122
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,70-80,46,0.004573283679577773,0.0011294270214763369,0.5217391304347826,0.05226343816727219,-0.04315925822922562,-0.05470318951103592
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,80-90,59,-0.00037818182684974503,8.126114116047134e-05,0.5084745762711864,0.07633306091653003,-0.07137199495423874,-0.0808871997749745
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,90-100,110,0.0061920730051982925,0.00472874120297917,0.5454545454545454,0.08557159261273517,-0.060829326789522464,-0.060829326789522464
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,0-10,166,0.003104521145604787,0.003649230703739126,0.5602409638554217,0.11483539553129396,-0.13932848829941735,-0.13932848829941735
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,10-20,70,0.015109473012101162,0.0202364076381899,0.6428571428571429,0.08968539006456222,-0.06836163781544768,-0.07050355809102715
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,20-30,81,0.0040264547845336755,0.004398988291761441,0.5185185185185185,0.11688382943918163,-0.14672796242247665,-0.15878546754349454
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,30-40,75,0.0016959093268980486,5.341717634199661e-05,0.5066666666666667,0.071573359663895,-0.09640333951559199,-0.12031597586732656
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,40-50,88,8.88476220550809e-05,-0.002690178583757641,0.48863636363636365,0.09403863764068499,-0.13647792390513236,-0.13647792390513236
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,50-60,62,0.018308606065889292,0.006248191604873665,0.5483870967741935,0.1624218642195807,-0.06257999397118796,-0.06838595586243945
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,60-70,62,0.010544613122300869,0.006223425233960134,0.5645161290322581,0.14923865199234854,-0.073624454142869,-0.07623094128024188
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,70-80,46,0.009555690776332573,0.0014140447710548343,0.5,0.12193345031752378,-0.0656482246077622,-0.0656482246077622
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,80-90,59,0.006801641745853325,0.003373819163292824,0.5254237288135594,0.14951136761868566,-0.09278442175562396,-0.09278442175562396
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,90-100,110,0.011701517463383795,0.009947831917317962,0.6363636363636364,0.11255248432300946,-0.07339160048106119,-0.0808871997749745
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,0-10,166,0.01048799603725975,0.006524073581371748,0.5421686746987951,0.16258290711985013,-0.14175294990618525,-0.14175294990618525
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,10-20,70,0.009260590101191906,-0.004439244091265782,0.4714285714285714,0.20789518759017245,-0.11048713887052242,-0.11354541285035735
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,20-30,77,0.005064273838972905,0.0006240630484595222,0.5194805194805194,0.2391145624670039,-0.12886023394400936,-0.15878546754349454
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,30-40,75,0.011834293254776602,-0.0009561030213020016,0.4666666666666667,0.17918621397194823,-0.10414806770093099,-0.13647792390513236
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,40-50,88,0.010136087526531152,-0.008319407721332162,0.45454545454545453,0.21337118039709324,-0.1339790371346169,-0.15878546754349454
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,50-60,62,0.021090494522724886,0.023936279388756643,0.5806451612903226,0.17978986510003114,-0.11245966153384135,-0.13647792390513236
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,60-70,62,0.02454223920899502,0.011232545363606405,0.6129032258064516,0.24907959114291334,-0.08396643733531406,-0.13647792390513236
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,70-80,46,0.018455755735524115,0.011242271864075004,0.5434782608695652,0.15291075317856562,-0.11038605371419963,-0.1204135739072435
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,80-90,59,0.019985771461627968,0.016695910062737296,0.5932203389830508,0.17113530046085756,-0.11590482956796466,-0.1204135739072435
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,90-100,110,0.021909534437595767,0.019214099298079934,0.6363636363636364,0.11644549822118977,-0.08665813583104709,-0.11727902345840291
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,0-10,169,0.0014337442687684518,0.0020000203450520893,0.5621301775147929,0.058031614463415204,-0.12570918451764834,-0.12570918451764834
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,10-20,79,0.0014349764654156799,0.0021723381990665924,0.5949367088607594,0.06333708795450965,-0.050276545080313984,-0.050276545080313984
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,20-30,82,0.002166746710131364,0.0024714025884020607,0.5609756097560976,0.048918387413962705,-0.03951454658801512,-0.03951454658801512
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,30-40,78,0.00012380779933718477,0.0020288927688125735,0.5256410256410257,0.031255208646300936,-0.05071641191914644,-0.05071641191914644
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,40-50,87,-0.0008012862786287599,-0.002231271327577833,0.45977011494252873,0.05644086649975155,-0.06468940995295891,-0.06468940995295891
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,50-60,50,-0.0012686132649703486,0.0011334441380747018,0.5,0.055525361160558395,-0.12031597586732656,-0.12031597586732656
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,60-70,52,0.003785133589753774,0.004113063286052654,0.5961538461538461,0.08872708019648767,-0.05470318951103592,-0.05470318951103592
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,70-80,62,0.008115682417523877,0.009258689521312924,0.6129032258064516,0.08432153923414987,-0.048254193694034275,-0.048254193694034275
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,80-90,89,0.002123327958320135,0.005078741230726491,0.5842696629213483,0.043345536398685436,-0.0808871997749745,-0.0808871997749745
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,90-100,74,0.002753499741064264,0.0016768013600076959,0.527027027027027,0.05974783733921063,-0.04495058035184496,-0.04495058035184496
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,0-10,169,0.003660076796415716,0.004333828759047087,0.5562130177514792,0.07829790202317621,-0.11954792056152808,-0.12570918451764834
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,10-20,79,0.0030260185850697206,0.0044211108040894675,0.5569620253164557,0.07149824544913708,-0.07259206798866857,-0.07259206798866857
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,20-30,82,0.002551963078804394,0.0006302955349017925,0.5121951219512195,0.062143511476769886,-0.06682651925334737,-0.06682651925334737
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,30-40,78,-0.0012800144597643409,0.0006857783615683566,0.5128205128205128,0.0435234868403509,-0.09645285117833136,-0.09645285117833136
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,40-50,86,-0.0015328449340474449,-0.0032510615432575496,0.4418604651162791,0.06798853380926717,-0.06125140330543344,-0.06468940995295891
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,50-60,50,0.001387599791737062,0.004998601569534689,0.58,0.08619188268210953,-0.15878546754349454,-0.15878546754349454
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,60-70,52,0.0038259393998463145,0.005022548764858414,0.5576923076923077,0.10944797529729877,-0.06736381073620279,-0.06736381073620279
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,70-80,62,0.014134771257815,0.008882287980325643,0.6451612903225806,0.14566775391111086,-0.0415761019132892,-0.05470318951103592
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,80-90,89,0.00786955333847124,0.0036122265061968584,0.5955056179775281,0.07633306091653003,-0.07137199495423874,-0.0808871997749745
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,90-100,74,0.003966891959135788,0.0005974516751073855,0.5,0.08557159261273517,-0.060829326789522464,-0.060829326789522464
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,0-10,169,0.0067527472493544745,0.006481687109917145,0.5857988165680473,0.10826681104391889,-0.13932848829941735,-0.13932848829941735
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,10-20,79,0.004937722456649249,0.005554231968427192,0.5569620253164557,0.11483539553129396,-0.0892351274787535,-0.0892351274787535
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,20-30,82,0.008071637624968058,0.005185447780450603,0.5365853658536586,0.10842148406898744,-0.07716319545461392,-0.07716319545461392
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,30-40,78,-0.0027942665339511894,-0.006920617694994136,0.4358974358974359,0.11688382943918163,-0.09640333951559199,-0.11727902345840291
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,40-50,84,-0.00753989766228143,-0.009358264341029932,0.40476190476190477,0.07465518644486346,-0.14672796242247665,-0.15878546754349454
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,50-60,50,0.009216815265914257,0.006496307256770195,0.58,0.10918967150622261,-0.10949004269297968,-0.15878546754349454
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,60-70,52,0.01088617225785902,0.007932378825876052,0.5961538461538461,0.1624218642195807,-0.09278442175562396,-0.09278442175562396
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,70-80,62,0.017678449648891852,0.008150434284920904,0.5967741935483871,0.14923865199234854,-0.0656482246077622,-0.0656482246077622
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,80-90,89,0.022135127556102065,0.01344533495964173,0.6629213483146067,0.14951136761868566,-0.07657027217864476,-0.0808871997749745
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,90-100,74,0.006975905345500697,0.006631800591220927,0.581081081081081,0.11255248432300946,-0.0830846920054108,-0.0830846920054108
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,0-10,169,0.009910417042585029,0.004964626436157138,0.5384615384615384,0.16258290711985013,-0.14175294990618525,-0.14175294990618525
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,10-20,79,0.01158380084714964,-0.001702314873133881,0.4936708860759494,0.20789518759017245,-0.11048713887052242,-0.11354541285035735
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,20-30,82,0.0109812568851331,0.0012390397954010757,0.524390243902439,0.2391145624670039,-0.10414806770093099,-0.10414806770093099
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,30-40,78,-0.0032864911144411,-0.008620543041938544,0.3974358974358974,0.12179698832814223,-0.08008739447469948,-0.13647792390513236
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,40-50,80,-0.00485082240695237,-0.01590323090077983,0.3375,0.16708462597447316,-0.11245966153384135,-0.15878546754349454
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,50-60,50,0.023313458678599373,0.03635801918480164,0.7,0.13025058239007525,-0.12886023394400936,-0.15878546754349454
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,60-70,52,0.015799620725824547,0.00269909853358552,0.5192307692307693,0.21337118039709324,-0.1339790371346169,-0.15878546754349454
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,70-80,62,0.0361536476283124,0.013820505959642682,0.6451612903225806,0.24907959114291334,-0.0825666986236302,-0.10082405999740562
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,80-90,89,0.04047403822063227,0.041653995147071354,0.7640449438202247,0.18743474383130998,-0.11590482956796466,-0.1204135739072435
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,90-100,74,0.01552903395135519,0.01141298819280101,0.5540540540540541,0.17087280042283526,-0.08873880778508336,-0.11727902345840291
mm_net,MM Net,Full History percentile,percentile,,mm_net_percentile_full_history,1W,gold_return_1w,0-10,87,0.0036628151203509946,0.0022638327766633104,0.6091954022988506,0.058031614463415204,-0.04326716578635903,-0.04326716578635903
mm_net,MM Net,Full History percentile,percentile,,mm_net_percentile_full_history,1W,gold_return_1w,10-20,87,0.004295748020613253,0.004586454841727594,0.6091954022988506,0.06333708795450965,-0.06717395609381072,-0.06717395609381072
mm_net,MM Net,Full History percentile,percentile,,mm_net_percentile_full_history,1W,gold_return_1w,20-30,88,-0.00048389212793582446,0.0004766708457871749,0.5227272727272727,0.05459544383346415,-0.12570918451764834,-0.12570918451764834
mm_net,MM Net,Full History percentile,percentile,,mm_net_percentile_full_history,1W,gold_return_1w,30-40,87,0.0005843050421235117,0.0025358189558639666,0.5287356321839081,0.04300657150710485,-0.03951454658801512,-0.03951454658801512
